FID;CATEGORY;UNIQUENESS;NAME
MUSEUMOGD.54081;Wien;0.6;Bezirksmuseum Landstraße
MUSEUMOGD.54082;Wien;0.6;Bezirksmuseum Leopoldstadt
MUSEUMOGD.54083;Wien;0.6;Bezirksmuseum Liesing
MUSEUMOGD.54084;Wien;0.6;Bezirksmuseum Margareten
MUSEUMOGD.54085;Wien;0.6;Bezirksmuseum Mariahilf
MUSEUMOGD.54086;Wien;0.6;Bezirksmuseum Meidling
MUSEUMOGD.54087;Wien;0.6;Bezirksmuseum Neubau
MUSEUMOGD.54088;Wien;0.6;Bezirksmuseum Ottakring
MUSEUMOGD.54089;Wien;0.6;Bezirksmuseum Penzing
MUSEUMOGD.54090;Wien;0.6;Bezirksmuseum Rudolfsheim-Fünfhaus
MUSEUMOGD.54091;Wien;0.6;Bezirksmuseum Simmering
MUSEUMOGD.54092;Wien;0.6;Bezirksmuseum Währing
MUSEUMOGD.54093;Wien;0.6;Bezirksmuseum Wieden
MUSEUMOGD.54094;Naturwissenschaft;0.8;Phonomuseum
MUSEUMOGD.54095;Handwerk;0.6;Rauchfangkehrermuseum
MUSEUMOGD.54096;Naturwissenschaft;0.6;Zahnärztliches Museum
MUSEUMOGD.54097;Handwerk;0.7;Bestattungsmuseum
MUSEUMOGD.54098;Handwerk;0.7;“Wiener Werkstätte”-Museum
MUSEUMOGD.54099;Handwerk;0.8;Sanitärhistorisches Museum
MUSEUMOGD.54100;Geschichte;0.7;Museum des Blindenwesens
MUSEUMOGD.54101;Geschichte;0.6;Dritte Mann Museum
MUSEUMOGD.54103;Handwerk;0.7;Feuerwehrmuseum
MUSEUMOGD.54104;Geschichte;0.7;Museum der Wiener Austria
MUSEUMOGD.54105;Handwerk;0.9;Erstes Wiener Glasmuseum der Firma Lobmeyr
MUSEUMOGD.54106;Handwerk;0.7;Kaffeemuseum
MUSEUMOGD.54107;Kunst & Literatur;0.7;Geymüllerschlössel
MUSEUMOGD.54108;Handwerk;0.8;Bäckermuseum
MUSEUMOGD.54102;Handwerk;0.7;Museum der Erste Bank AG
MUSEUMOGD.54109;Naturwissenschaft;0.9;Brennpunkt - Museum der Heizkultur Wien (vormals Heizungsmuseum)
MUSEUMOGD.54110;Geschichte;0.7;Fiakermuseum
MUSEUMOGD.54111;Kunst & Literatur;0.7;Österreichisches Filmmuseum
MUSEUMOGD.54112;Handwerk;0.8;Alte Schmiede
MUSEUMOGD.54113;Geschichte;0.9;Alt-Wiener Schnapsmuseum
MUSEUMOGD.54114;Wien;0.6;Bezirksmusem Josefstadt (Stefan-Zweig-Archiv)
MUSEUMOGD.54115;Wien;0.6;Bezirksmuseum Alsergrund
MUSEUMOGD.54116;Wien;0.6;Bezirksmuseum Brigittenau
MUSEUMOGD.54117;Wien;0.6;Bezirksmuseum Döbling
MUSEUMOGD.54118;Wien;0.6;Bezirksmuseum Döbling (Weinbaumuseum)
MUSEUMOGD.54119;Wien;0.6;Bezirksmuseum Donaustadt
MUSEUMOGD.54120;Wien;0.6;Bezirksmuseum Favoriten
MUSEUMOGD.54121;Wien;0.6;Bezirksmuseum Floridsdorf
MUSEUMOGD.54122;Wien;0.6;Bezirksmuseum Hernals
MUSEUMOGD.54123;Wien;0.6;Bezirksmuseum Hietzing
MUSEUMOGD.54124;Wien;0.6;Bezirksmuseum Innere Stadt
MUSEUMOGD.54125;Wien;0.6;Bezirksmuseum Josefstadt
MUSEUMOGD.54126;Kunst & Literatur;0.7;Porzellanmuseum im Augarten
MUSEUMOGD.54127;Geschichte;0.6;Geldmuseum
MUSEUMOGD.54128;Naturwissenschaft;0.7;Pharma- und Drogistenmuseum Wien
MUSEUMOGD.54129;Kunst & Literatur;0.7;Phantasten Museum
MUSEUMOGD.54130;Geschichte;0.7;Pfadfindermuseum
MUSEUMOGD.54131;Geschichte;0.8;Kriminalmuseum
MUSEUMOGD.54132;Geschichte;0.6;Rapideum - Vereinsmuseum Rapid
MUSEUMOGD.54133;Wien;0.7;Wiener Planungswerkstatt - Ausstellungszentrum der Stadtentwicklung
MUSEUMOGD.54134;Kunst & Literatur;0.7;Archiv der Universität Wien (Schausammlung)
MUSEUMOGD.54135;Naturwissenschaft;0.7;Zoom Kindermuseum
MUSEUMOGD.54136;Handwerk;0.85;Wiener Schuhmuseum
MUSEUMOGD.54137;Naturwissenschaft;0.85;Österreichisches Privatmuseum für Schreib- und Rechenmaschinen
MUSEUMOGD.54138;Handwerk;0.75;Schokolademuseum
MUSEUMOGD.54139;Geschichte;0.9;Billardmuseum Weingartner
MUSEUMOGD.54140;Kunst & Literatur;0.7;Modemuseum Hetzendorf
MUSEUMOGD.54141;Handwerk;0.8;Wienbibliothek im Rathaus
MUSEUMOGD.54142;Wien;0.6;Verkehrsmuseum (der Wiener Linien) 'Remise'
MUSEUMOGD.54143;Handwerk;0.7;Rettungsmuseum
MUSEUMOGD.54144;Geschichte;0.8;Wiener Stadt- und Landesarchiv
MUSEUMOGD.54156;Naturwissenschaft;0.8;Freiluftplanetarium Sterngarten Georgenberg
MUSEUMOGD.54157;Kunst & Literatur;0.65;Bank Austria Kunstforum
MUSEUMOGD.54158;Kunst & Literatur;0.6;Beethoven Gedenkstätte Wien-Floridsdorf
MUSEUMOGD.54159;Kunst & Literatur;0.7;Augarten Contemporary (Gustinus Ambrosi-Museum)
MUSEUMOGD.54160;Kunst & Literatur;0.8;Mittelalterliche Kunst (Museum im Oberen Belvedere)
MUSEUMOGD.54161;Geschichte;0.9;Böhmerwaldmuseum Wien und Erzgebirger-Heimatstube
MUSEUMOGD.54162;Kunst & Literatur;0.7;Alpengarten im Belvedere
MUSEUMOGD.54163;Kunst & Literatur;0.7;Schatzkammer des Deutschen Ordens
MUSEUMOGD.54164;Naturwissenschaft;0.8;Kuffner Sternwarte
MUSEUMOGD.54165;Naturwissenschaft;0.6;Urania-Sternwarte
MUSEUMOGD.54145;Handwerk;0.8;Uhrenmuseum
MUSEUMOGD.54146;Kunst & Literatur;0.3;Oberes Belvedere
MUSEUMOGD.54147;Kunst & Literatur;0.4;Palais Liechtenstein
MUSEUMOGD.54148;Kunst & Literatur;0.3;Akademie der bildenden Künste, Gemäldegalerie
MUSEUMOGD.54149;Geschichte;0.6;Foltermuseum
MUSEUMOGD.54150;Kunst & Literatur;0.4;Kaisergruft (Kapuzinergruft)
MUSEUMOGD.54151;Kunst & Literatur;0.6;Lehár-Schikaneder-Schlössl
MUSEUMOGD.54152;Kunst & Literatur;0.2;Secession
MUSEUMOGD.54153;Kunst & Literatur;0.5;Village-Galerie (beim Hundertwasser-Haus)
MUSEUMOGD.54154;Kunst & Literatur;0.15;Albertina
MUSEUMOGD.54155;Handwerk;0.6;Architekturzentrum Wien
MUSEUMOGD.54166;Geschichte;0.6;Gedenkstätte Steinhof (Zur Geschichte der NS-Medizin in Wien )
MUSEUMOGD.54167;Geschichte;0.4;Dokumentationsarchiv des österreichischen Widerstandes
MUSEUMOGD.54168;Geschichte;0.5;Dom- und Diözesanmuseum
MUSEUMOGD.54169;Kunst & Literatur;0.4;Ernst Fuchs Museum
MUSEUMOGD.54170;Kunst & Literatur;0.6;Generali Foundation
MUSEUMOGD.54171;Kunst & Literatur;0.6;Arnold Schönberg Center
MUSEUMOGD.54172;Naturwissenschaft;0.3;Haus des Meeres
MUSEUMOGD.54173;Geschichte;0.3;Heeresgeschichtliches Museum
MUSEUMOGD.54174;Geschichte;0.4;Jüdisches Museum
MUSEUMOGD.54175;Kunst & Literatur;0.4;Kunst Haus Wien - Museum Hundertwasser
MUSEUMOGD.54176;Kunst & Literatur;0.2;Kunsthalle Wien
MUSEUMOGD.54177;Kunst & Literatur;0.6;Kunsthalle Wien (project space)
MUSEUMOGD.54178;Geschichte;0.5;Weltmuseum Wien
MUSEUMOGD.54179;Kunst & Literatur;0.5;Österreichisches Theatermuseum
MUSEUMOGD.54180;Kunst & Literatur;0.3;Künstlerhaus
MUSEUMOGD.54181;Geschichte;0.7;K&K Weinschatzkammer
MUSEUMOGD.54182;Geschichte;0.8;Kaiser Franz Joseph Hutmuseum
MUSEUMOGD.54183;Kunst & Literatur;0.2;Leopold Museum
MUSEUMOGD.54184;Kunst & Literatur;0.2;MAK - Österreichisches Museum für angewandte Kunst/Gegenwartskunst
MUSEUMOGD.54185;Geschichte;0.9;Museum der Mechitharistenkongregation
MUSEUMOGD.54186;Naturwissenschaft;0.4;Sammlungen der Medizinischen Universität Wien (Josephinum)
MUSEUMOGD.54187;Kunst & Literatur;0.6;MOYA - Museum Of Young Art
MUSEUMOGD.54188;Kunst & Literatur;0.4;Mozarthaus Vienna
MUSEUMOGD.54189;Kunst & Literatur;0.15;Museum Moderner Kunst Stiftung Ludwig Wien (mumok)
MUSEUMOGD.54190;Kunst & Literatur;0.15;MuseumsQuartier
MUSEUMOGD.54191;Naturwissenschaft;0.4;Pathologisch-anatomisches Bundesmuseum (Narrenturm)
MUSEUMOGD.54192;Kunst & Literatur;0.3;Belvedere - Oberes Belvedere (Barockmuseum)
MUSEUMOGD.54193;Kunst & Literatur;0.3;Belvedere - Unteres Belvedere
MUSEUMOGD.54194;Geschichte;0.6;Österreichisches Gesellschafts- und Wirtschaftsmuseum
MUSEUMOGD.54195;Kunst & Literatur;0.2;Österreichische Nationalbibliothek, Prunksaal
MUSEUMOGD.54196;Geschichte;0.5;Österreichisches Museum für Volkskunde
MUSEUMOGD.54197;Kunst & Literatur;0.5;Esperantomuseum
MUSEUMOGD.54198;Naturwissenschaft;0.8;Globenmuseum
MUSEUMOGD.54199;Naturwissenschaft;0.8;Kartensammlung
